fixture,position,token_id,token_text,source,label,post_attn_l00,post_attn_l01,post_attn_l02,post_attn_l03,post_attn_l04,post_attn_l05,post_attn_l06,post_attn_l07,post_attn_l08,post_attn_l09,post_attn_l10,post_attn_l11,post_attn_l12,post_attn_l13,post_attn_l14,post_attn_l15,post_attn_l16,post_attn_l17,post_attn_l18,post_attn_l19,post_attn_l20,post_attn_l21,post_attn_l22,post_attn_l23,post_left_l00,post_left_l01,post_left_l02,post_left_l03,post_left_l04,post_left_l05,post_left_l06,post_left_l07,post_left_l08,post_left_l09,post_left_l10,post_left_l11,post_left_l12,post_left_l13,post_left_l14,post_left_l15,post_left_l16,post_left_l17,post_left_l18,post_left_l19,post_left_l20,post_left_l21,post_left_l22,post_left_l23,pre_attn_l00,pre_attn_l01,pre_attn_l02,pre_attn_l03,pre_attn_l04,pre_attn_l05,pre_attn_l06,pre_attn_l07,pre_attn_l08,pre_attn_l09,pre_attn_l10,pre_attn_l11,pre_attn_l12,pre_attn_l13,pre_attn_l14,pre_attn_l15,pre_attn_l16,pre_attn_l17,pre_attn_l18,pre_attn_l19,pre_attn_l20,pre_attn_l21,pre_attn_l22,pre_attn_l23,pre_left_l00,pre_left_l01,pre_left_l02,pre_left_l03,pre_left_l04,pre_left_l05,pre_left_l06,pre_left_l07,pre_left_l08,pre_left_l09,pre_left_l10,pre_left_l11,pre_left_l12,pre_left_l13,pre_left_l14,pre_left_l15,pre_left_l16,pre_left_l17,pre_left_l18,pre_left_l19,pre_left_l20,pre_left_l21,pre_left_l22,pre_left_l23
mixed-trust.txt,0,2610,"You",system,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
mixed-trust.txt,1,525," are",system,0,0.102551,0.111492,0.117717,0.044083,0.030204,0.036259,0.019592,0.019036,0.051452,0.010485,0.014428,0.013321,0.030941,0.007154,0.017803,0.021915,0.007090,0.021510,0.012575,0.022214,0.028450,0.016012,0.176722,0.170093,0.107607,0.206851,0.129561,0.654852,0.585383,0.677697,0.690062,0.707942,0.479710,0.849271,0.653543,0.905799,0.614273,0.803382,0.541799,0.628984,0.917381,0.785620,0.744083,0.587735,0.720550,0.854836,0.370839,0.187766,265.863129,57.725266,31.118282,5.700185,3.274497,-3.007737,1.491186,-4.554531,72.323486,-6.031226,-3.633944,-5.470722,1.239535,-1.480549,-0.848030,-2.827683,-2.136531,-4.046954,-3.286523,-3.239709,-2.059294,-2.045807,9.491086,7.698791,265.596008,58.211456,31.216286,10.755011,7.392674,1.023607,6.095641,0.957493,76.798134,1.307393,1.549804,2.828396,5.640655,4.827706,3.326540,1.745084,5.722823,1.072765,1.925349,1.264163,1.959929,2.204349,10.246116,7.468269
mixed-trust.txt,2,264," a",system,0,0.073590,0.102066,0.093063,0.021491,0.019714,0.023739,0.015971,0.017698,0.030520,0.009896,0.016846,0.012768,0.019592,0.006705,0.026517,0.023658,0.005995,0.036022,0.009268,0.017034,0.015989,0.010178,0.125927,0.105076,0.075098,0.128543,0.095073,0.340696,0.295232,0.348715,0.339694,0.359357,0.247919,0.425528,0.324118,0.456071,0.312085,0.397995,0.273655,0.315883,0.460963,0.399734,0.375911,0.294516,0.373907,0.434300,0.261345,0.166740,263.014313,57.175682,31.853365,5.628417,2.863327,-3.364273,1.253844,-4.704638,67.681213,-7.857146,-3.674099,-7.833228,1.081156,-1.769523,-0.493871,-2.810691,-2.705314,-3.807415,-3.584670,-3.651211,-2.893283,-2.479944,9.535011,7.486219,262.615021,57.231022,31.691607,8.076121,5.198407,-1.097053,3.687991,-1.955663,70.298325,-2.470208,-1.151635,-1.426902,3.357396,1.610329,1.186555,-0.641508,1.794792,-1.539899,-0.797021,-1.105633,-0.052764,0.087786,10.142750,7.859923
mixed-trust.txt,3,10950," helpful",system,0,0.051863,0.042869,0.036357,0.035576,0.035539,0.016582,0.016117,0.024356,0.036253,0.011941,0.028841,0.008957,0.027860,0.012762,0.040491,0.025821,0.003425,0.011030,0.010013,0.011027,0.004719,0.002447,0.003201,0.008754,0.055523,0.097064,0.074010,0.225017,0.194592,0.237812,0.223659,0.241754,0.165182,0.284159,0.215084,0.305480,0.206327,0.263725,0.185701,0.213847,0.308117,0.276317,0.249966,0.196308,0.251054,0.289905,0.207170,0.136002,262.690552,55.179096,30.270241,5.993766,3.263942,-3.837288,0.875166,-4.352015,64.288727,-8.432551,-3.617042,-8.431472,1.316224,-0.807678,-0.379948,-2.891126,-2.915906,-5.115563,-4.068348,-4.417090,-4.916978,-5.276027,4.846714,4.072269,262.497498,56.165825,31.968801,7.118651,4.280736,-2.017681,2.723615,-3.028605,66.289619,-4.504979,-2.144243,-3.706408,2.510720,0.407813,0.564889,-1.501465,0.259049,-2.400276,-1.858957,-2.080250,-1.009327,-0.772125,9.848627,7.647630
mixed-trust.txt,4,17847," assistant",system,0,0.083136,0.072892,0.023817,0.024592,0.037041,0.020995,0.024390,0.012426,0.034331,0.015203,0.027130,0.009433,0.027481,0.006909,0.035935,0.025265,0.003607,0.013892,0.010943,0.039792,0.032378,0.007025,0.010212,0.020196,0.042745,0.067812,0.049292,0.168811,0.148451,0.177001,0.165549,0.182938,0.124774,0.214072,0.162994,0.229753,0.155530,0.196723,0.146438,0.161600,0.230698,0.206976,0.184708,0.144791,0.185427,0.215597,0.145237,0.094375,265.121521,57.352348,29.832792,5.112727,3.702210,-3.186162,1.801649,-4.370417,66.854797,-8.319191,-3.038578,-8.426924,1.432245,-1.239149,-0.146672,-2.770189,-2.136341,-4.021782,-3.697748,-2.790927,-2.176069,-3.694097,6.202111,5.470029,264.387634,57.637730,31.184549,6.711459,3.835099,-2.647674,2.055974,-3.608123,67.308891,-5.722761,-2.670693,-4.966094,2.024060,0.025606,0.217268,-2.004908,-0.690011,-3.251763,-2.587101,-2.888774,-2.086211,-1.943226,8.416881,6.526614
mixed-trust.txt,5,13,".",system,0,0.134636,0.111217,0.191554,0.026309,0.048220,0.018708,0.032815,0.029556,0.044186,0.011627,0.023661,0.010601,0.026929,0.026270,0.049599,0.056684,0.012090,0.022358,0.017131,0.035054,0.056880,0.028568,0.198681,0.214198,0.042909,0.058224,0.034948,0.136173,0.123617,0.144088,0.133563,0.146341,0.101186,0.171709,0.130177,0.184226,0.124919,0.155910,0.120706,0.131286,0.184245,0.163589,0.145607,0.118122,0.153733,0.172804,0.113983,0.074142,264.627380,59.675545,33.570385,6.284051,3.946820,-3.323696,2.098580,-4.122967,68.841728,-6.305320,-3.373884,-8.696279,1.550510,-0.294383,0.195406,-1.862538,-1.268441,-3.374627,-2.547171,-2.423314,-1.290706,-1.605629,9.974125,8.317431,263.285919,58.742508,31.154562,6.242559,3.664817,-2.922495,1.882399,-3.987185,67.983917,-6.357549,-2.963685,-5.718568,1.668652,-0.338813,-0.016713,-2.370051,-1.067842,-3.561473,-3.000276,-3.087013,-2.219191,-2.364781,8.026765,6.281020
mixed-trust.txt,6,8278," Only",system,0,0.047149,0.063306,0.050685,0.035217,0.027384,0.013892,0.017090,0.018299,0.059965,0.012140,0.024305,0.013645,0.023496,0.012913,0.019283,0.030062,0.007253,0.013946,0.012637,0.024865,0.017163,0.004932,0.009818,0.026757,0.049720,0.056630,0.051386,0.114017,0.105431,0.118503,0.112770,0.121363,0.085657,0.143146,0.106506,0.153872,0.103619,0.130362,0.103661,0.112628,0.153643,0.134920,0.118047,0.097425,0.133912,0.145798,0.124818,0.092501,264.462891,59.341076,31.187593,5.344942,3.558664,-4.036058,1.224661,-4.761075,70.926048,-6.826051,-3.739958,-6.647853,0.856521,-1.188309,-1.167123,-2.744244,-3.590482,-4.822205,-3.824427,-4.076303,-3.314504,-3.705334,6.765783,6.217748,263.953247,59.385574,31.563004,6.109041,3.577033,-3.090026,1.735770,-4.227856,70.484512,-6.540067,-3.239244,-6.378887,1.455867,-0.446221,-0.134179,-2.464960,-1.167959,-3.643273,-3.104255,-3.202087,-2.140139,-2.300753,8.333519,6.678423
mixed-trust.txt,7,1795," follow",system,0,0.042321,0.058502,0.064397,0.026370,0.034528,0.019573,0.037863,0.031715,0.034325,0.015022,0.038759,0.005284,0.037034,0.022283,0.034971,0.040626,0.008921,0.019071,0.022994,0.025842,0.012796,0.006395,0.004836,0.016744,0.043048,0.048444,0.043171,0.097708,0.089470,0.099782,0.094097,0.101373,0.074835,0.121092,0.090107,0.132407,0.087278,0.110678,0.088852,0.094865,0.131909,0.115071,0.100100,0.083474,0.115313,0.124654,0.102973,0.078067,266.808350,58.838226,30.828753,5.161481,3.424325,-3.764666,2.001837,-4.278993,72.663864,-7.390986,-2.800786,-8.917748,1.395022,-0.806912,-0.833341,-3.001281,-1.065635,-4.729779,-3.603946,-4.017348,-4.364100,-4.823756,5.219653,4.857134,266.301422,58.844658,30.900330,6.050719,3.417128,-3.382956,1.497001,-4.532792,72.484398,-6.730278,-3.555634,-6.627723,1.185490,-0.616666,-0.439575,-2.622250,-1.545469,-3.920959,-3.295617,-3.473284,-2.466578,-2.628384,7.875996,6.405751
mixed-trust.txt,8,11221," instructions",system,0,0.050608,0.053722,0.043832,0.036779,0.047149,0.024106,0.038344,0.025289,0.040609,0.013548,0.038741,0.007382,0.040973,0.011955,0.020100,0.029790,0.006741,0.019976,0.035832,0.037149,0.014958,0.006462,0.007251,0.017778,0.038092,0.042173,0.039579,0.085606,0.079023,0.086900,0.084242,0.089192,0.064362,0.106299,0.081076,0.114968,0.078157,0.097608,0.079849,0.083870,0.116342,0.101598,0.088823,0.073554,0.100887,0.108499,0.084264,0.065951,269.095612,59.505348,30.476858,4.894727,3.836917,-3.352672,1.923423,-3.771286,71.288010,-6.732170,-2.273352,-8.456415,1.952396,-0.589245,-0.923913,-2.629306,-0.995333,-3.873510,-3.136442,-3.480044,-3.422630,-3.421310,5.762728,4.919060,268.549652,59.179642,30.565445,5.974669,3.322037,-3.500389,1.426118,-4.616591,70.532631,-6.904940,-3.642574,-7.009989,1.019897,-0.744450,-0.699070,-2.809998,-1.564361,-4.180722,-3.538301,-3.772954,-2.863420,-2.957972,7.458239,6.049157
mixed-trust.txt,9,504," from",system,0,0.069716,0.058188,0.051357,0.021911,0.024107,0.028281,0.027787,0.025501,0.039903,0.010957,0.025327,0.006082,0.028165,0.013034,0.033579,0.027448,0.006895,0.017175,0.021304,0.021353,0.014764,0.006846,0.023376,0.032922,0.034657,0.037357,0.033235,0.077558,0.072977,0.078212,0.076767,0.079104,0.058034,0.094586,0.073288,0.101693,0.070689,0.084460,0.070215,0.072881,0.103226,0.089814,0.080863,0.064774,0.088999,0.094941,0.073226,0.057857,267.577606,58.846493,30.602274,5.210157,3.205814,-3.168298,1.977273,-4.462067,67.646408,-7.416262,-2.930439,-7.663393,1.035842,-1.795959,-1.090177,-3.316148,-1.785217,-4.706612,-4.318999,-4.824552,-4.098547,-3.518713,7.547969,6.375655,266.250610,58.084419,30.331615,5.667803,3.308678,-3.587093,1.289674,-4.717248,67.232681,-7.124994,-3.671658,-7.283545,0.943268,-0.820884,-0.874857,-2.975741,-1.540086,-4.250405,-3.680745,-3.966641,-3.064061,-3.029316,7.197930,5.918702
