fixture,position,token_id,token_text,source,label,post_attn_l00,post_attn_l01,post_attn_l02,post_attn_l03,post_attn_l04,post_attn_l05,post_attn_l06,post_attn_l07,post_attn_l08,post_attn_l09,post_attn_l10,post_attn_l11,post_attn_l12,post_attn_l13,post_attn_l14,post_attn_l15,post_attn_l16,post_attn_l17,post_attn_l18,post_attn_l19,post_attn_l20,post_attn_l21,post_attn_l22,post_attn_l23,post_left_l00,post_left_l01,post_left_l02,post_left_l03,post_left_l04,post_left_l05,post_left_l06,post_left_l07,post_left_l08,post_left_l09,post_left_l10,post_left_l11,post_left_l12,post_left_l13,post_left_l14,post_left_l15,post_left_l16,post_left_l17,post_left_l18,post_left_l19,post_left_l20,post_left_l21,post_left_l22,post_left_l23,pre_attn_l00,pre_attn_l01,pre_attn_l02,pre_attn_l03,pre_attn_l04,pre_attn_l05,pre_attn_l06,pre_attn_l07,pre_attn_l08,pre_attn_l09,pre_attn_l10,pre_attn_l11,pre_attn_l12,pre_attn_l13,pre_attn_l14,pre_attn_l15,pre_attn_l16,pre_attn_l17,pre_attn_l18,pre_attn_l19,pre_attn_l20,pre_attn_l21,pre_attn_l22,pre_attn_l23,pre_left_l00,pre_left_l01,pre_left_l02,pre_left_l03,pre_left_l04,pre_left_l05,pre_left_l06,pre_left_l07,pre_left_l08,pre_left_l09,pre_left_l10,pre_left_l11,pre_left_l12,pre_left_l13,pre_left_l14,pre_left_l15,pre_left_l16,pre_left_l17,pre_left_l18,pre_left_l19,pre_left_l20,pre_left_l21,pre_left_l22,pre_left_l23
synth_000.txt,0,2610,"You",system,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
synth_000.txt,1,525," are",system,0,0.100747,0.105267,0.102309,0.032211,0.023312,0.028322,0.017871,0.019508,0.056195,0.009244,0.018992,0.009163,0.026909,0.007692,0.021998,0.021478,0.003986,0.018276,0.014681,0.024046,0.018475,0.014486,0.224568,0.188976,0.099498,0.167267,0.120734,0.684905,0.580616,0.683564,0.591934,0.681779,0.438509,0.826988,0.597822,0.820063,0.577823,0.736343,0.572175,0.599210,0.870964,0.766078,0.671514,0.510285,0.772808,0.849985,0.344975,0.219838,260.553955,59.404331,32.846138,4.979689,2.433622,-3.669812,1.142022,-5.421778,54.322033,-6.503929,-3.862830,-6.029398,0.652041,-2.069366,-1.442634,-3.277923,-2.717483,-4.293464,-3.727125,-3.342364,-2.798898,-2.041420,10.211406,8.296386,260.238434,59.738304,32.929192,11.003680,7.116802,0.959834,5.883666,0.966702,59.547504,1.221704,1.384583,2.737117,5.300472,4.577872,2.935019,1.614744,5.276728,1.034726,1.766312,1.206430,1.974154,2.410973,10.677302,7.940068
synth_000.txt,2,264," a",system,0,0.076706,0.104129,0.098396,0.019614,0.020923,0.019338,0.021664,0.018972,0.045792,0.009528,0.019654,0.007703,0.020612,0.009986,0.025435,0.022121,0.001888,0.027777,0.025143,0.035316,0.010930,0.008462,0.126444,0.107794,0.070667,0.104574,0.084218,0.344175,0.281194,0.340361,0.280854,0.332562,0.218608,0.408808,0.286501,0.401727,0.279910,0.357833,0.277811,0.288226,0.427584,0.375836,0.321296,0.244809,0.384490,0.425151,0.279132,0.196534,257.150726,61.628181,33.370132,5.260419,2.136461,-3.829427,1.045120,-5.143398,45.559662,-8.559572,-4.197471,-8.632694,0.382737,-2.379461,-1.483862,-3.404349,-3.609618,-4.117889,-3.448590,-3.208084,-3.715558,-2.627861,9.857230,8.007206,256.726715,61.538208,33.094307,7.939872,4.577922,-1.490768,3.418901,-2.355485,48.145164,-2.711885,-1.316821,-1.738897,2.874431,1.192049,0.717604,-0.881984,1.267130,-1.625400,-0.993209,-1.086812,-0.363873,0.214973,10.705899,8.454000
synth_000.txt,3,5821," travel",system,0,0.051851,0.088270,0.044743,0.023188,0.043161,0.026669,0.074646,0.011398,0.024576,0.005896,0.043448,0.047302,0.033508,0.019645,0.039952,0.050304,0.003144,0.017729,0.018436,0.023688,0.041797,0.007903,0.003757,0.011867,0.056052,0.084574,0.073887,0.226964,0.179816,0.220566,0.187706,0.218614,0.145785,0.269043,0.183993,0.264431,0.181184,0.233389,0.182468,0.187547,0.284158,0.252612,0.213529,0.167786,0.250833,0.282610,0.217076,0.153045,259.331207,60.068169,31.356108,5.370047,3.671854,-2.981085,2.663351,-4.198760,47.061481,-8.154506,-2.225281,-6.381486,1.685230,0.134172,-0.296888,-1.663545,-2.323844,-3.454390,-2.730200,-2.731220,-2.505850,-3.067628,5.719489,4.896660,259.396576,60.686344,32.611359,7.141788,3.788069,-2.238833,2.591976,-3.398673,47.905327,-4.737222,-2.333565,-4.066625,1.999664,-0.027373,-0.051134,-1.794991,-0.367648,-2.493546,-1.898942,-1.953139,-1.512245,-0.743084,10.210525,8.118032
synth_000.txt,4,49711," planner",system,0,0.052229,0.051102,0.027409,0.014188,0.035352,0.046848,0.068607,0.014373,0.032355,0.024151,0.050665,0.055488,0.042242,0.030177,0.067311,0.054304,0.007699,0.021642,0.018506,0.030451,0.026999,0.008234,0.005595,0.025965,0.042713,0.070045,0.056307,0.172368,0.140982,0.167483,0.153319,0.164410,0.105201,0.200698,0.143040,0.207093,0.136896,0.176237,0.140920,0.145583,0.212054,0.188902,0.158988,0.126995,0.195973,0.212839,0.151433,0.106498,260.138153,60.134476,30.706799,5.360824,3.002041,-2.554374,2.808709,-4.039155,46.063747,-6.736907,-1.936674,-6.177304,1.957471,0.343246,0.108645,-1.868491,-1.246408,-3.264756,-2.676446,-2.455908,-2.890161,-3.117587,6.072742,5.593819,259.913513,60.583122,32.415112,6.577847,3.551998,-2.557351,2.469647,-3.755857,46.122086,-5.581450,-2.478828,-4.599550,1.754332,-0.077040,-0.231355,-1.913905,-1.057786,-2.850033,-2.307456,-2.402350,-1.873281,-1.383407,8.983330,7.092209
synth_000.txt,5,13,".",system,0,0.148651,0.110968,0.221461,0.035299,0.053721,0.036356,0.044033,0.024778,0.085083,0.029734,0.057614,0.020351,0.063015,0.035382,0.039618,0.042391,0.010069,0.031639,0.021445,0.040065,0.054780,0.027335,0.301743,0.281486,0.037438,0.056298,0.042090,0.135950,0.113185,0.138076,0.130188,0.130758,0.081494,0.162283,0.117398,0.174255,0.109716,0.142324,0.119412,0.120365,0.168287,0.149236,0.124440,0.101583,0.159826,0.169267,0.120027,0.087868,259.747833,63.476006,34.473751,6.688861,3.626391,-2.879849,2.381634,-3.899328,40.834240,-6.855849,-2.370199,-8.819666,2.086844,-0.041710,-0.732517,-2.471963,-2.315831,-2.960224,-2.197797,-2.092776,-1.939382,-1.446117,10.698888,9.104158,258.157776,62.361431,32.042206,6.338279,3.231220,-2.637695,2.480340,-3.952580,39.293190,-5.947262,-2.509745,-4.932287,1.665590,-0.117591,-0.287145,-2.041989,-1.165915,-2.991353,-2.489121,-2.544665,-2.176454,-1.812331,8.382185,6.785748
synth_000.txt,6,7854," Build",system,0,0.087028,0.080337,0.064896,0.055210,0.048972,0.033086,0.051592,0.095537,0.111275,0.025898,0.037341,0.006904,0.046884,0.028236,0.036600,0.036696,0.010653,0.043905,0.046667,0.073729,0.010631,0.006165,0.006085,0.011745,0.050318,0.059815,0.066216,0.116090,0.097759,0.116787,0.112090,0.111287,0.076367,0.136649,0.101118,0.146839,0.095853,0.121178,0.101651,0.102009,0.140189,0.127044,0.104286,0.089479,0.138550,0.143238,0.146320,0.116038,261.937683,62.493683,31.399113,6.055176,3.570093,-3.058044,1.980397,-3.099289,46.002228,-5.439773,-2.693389,-7.075854,1.835369,-1.212878,-1.040681,-2.468194,-2.368444,-2.935334,-2.201893,-2.018522,-3.478799,-3.380741,6.399444,5.460134,261.018616,62.114876,31.506180,6.351406,3.200089,-2.657213,2.367434,-3.938805,44.748089,-6.113811,-2.515523,-5.585087,1.670948,-0.092251,-0.383741,-2.112187,-1.355649,-2.965758,-2.434199,-2.527184,-2.139959,-1.786467,8.657683,7.115330
synth_000.txt,7,1899," day",system,0,0.057387,0.083484,0.094264,0.035509,0.071874,0.029214,0.039065,0.038098,0.051541,0.013888,0.044955,0.030770,0.067528,0.041128,0.038033,0.051624,0.029423,0.023037,0.047899,0.043883,0.036268,0.027764,0.009782,0.018093,0.049200,0.057211,0.061062,0.104288,0.087562,0.101700,0.099708,0.107252,0.077059,0.119442,0.088899,0.125731,0.085329,0.105738,0.089315,0.089469,0.121303,0.112976,0.093085,0.083924,0.118534,0.122256,0.122477,0.096848,262.045105,60.469475,31.749617,5.870497,3.751015,-3.096700,2.353840,-3.317621,45.173508,-6.563034,-2.003473,-7.112031,2.490439,0.822449,-0.351789,-1.566457,-0.136564,-3.207845,-1.584088,-2.206491,-2.165393,-2.603638,6.440453,5.396413,261.395264,60.579178,31.671574,6.225920,3.177352,-2.721827,2.218590,-3.818550,45.096676,-5.949154,-2.547467,-5.687445,1.699136,-0.184682,-0.470250,-2.134212,-1.413996,-2.977908,-2.353623,-2.545298,-2.287793,-1.990158,8.221185,6.775165
synth_000.txt,8,12,"-",system,0,0.068413,0.050230,0.050116,0.023440,0.019693,0.009721,0.012521,0.008682,0.014321,0.008053,0.009585,0.009629,0.013251,0.008823,0.008598,0.019593,0.021206,0.019565,0.017172,0.016446,0.012790,0.008858,0.005007,0.009034,0.044348,0.055037,0.059984,0.092753,0.083001,0.089491,0.086980,0.096253,0.068639,0.104475,0.079341,0.112229,0.078520,0.094936,0.078310,0.080604,0.108293,0.099965,0.084450,0.074702,0.105031,0.107333,0.103747,0.082424,260.797577,60.883282,32.101559,5.389548,2.336185,-4.173581,1.059658,-5.414570,42.337620,-7.465677,-3.931651,-7.337275,0.645164,-0.714969,-2.189353,-3.070371,-0.861435,-3.956804,-3.535283,-4.100265,-3.971482,-3.764560,5.223054,4.489349,259.740479,60.848442,31.502171,6.018830,3.128541,-2.812749,2.200050,-3.761911,43.821651,-6.008273,-2.532614,-5.803517,1.768512,-0.090947,-0.493393,-2.123031,-1.125031,-3.057553,-2.330173,-2.622234,-2.189688,-2.005505,7.839232,6.441015
synth_000.txt,9,1694,"by",system,0,0.059072,0.073864,0.068198,0.036774,0.030843,0.025017,0.023265,0.031986,0.037199,0.013979,0.023551,0.006789,0.027357,0.021803,0.021140,0.031339,0.021772,0.019528,0.032759,0.032185,0.005964,0.006446,0.011115,0.026983,0.042044,0.048938,0.052540,0.080994,0.072728,0.078757,0.075116,0.083815,0.057691,0.092196,0.067874,0.099258,0.067384,0.082761,0.067623,0.069834,0.097265,0.089454,0.074366,0.065198,0.091668,0.094180,0.088506,0.071115,261.258545,61.338322,30.901945,5.427032,2.638960,-3.867953,1.420129,-5.095058,42.323364,-6.949736,-3.468839,-6.913158,1.044978,-0.419930,-1.567437,-3.002946,-0.847359,-4.617580,-3.745652,-4.584464,-4.314950,-3.344778,6.300477,5.733031,260.291229,60.615654,31.460709,5.920134,2.896082,-2.987224,1.975206,-4.026821,43.281784,-6.085131,-2.715689,-5.830336,1.633918,-0.023687,-0.677915,-2.238353,-1.039264,-3.255289,-2.511394,-2.912815,-2.379771,-2.180824,7.432857,6.093528
